,start_passe,end_passe,x,y,end_x,end_y,player_start,player_end,team_start,team_end,successful
365,30986,31043,85.36812,41.277393,80.676575,13.187519,"('0', '7')","('0', '1')",0,0,True
366,31080,31123,77.75511,10.105586,68.789116,2.0559776,"('0', '1')","('0', '3')",0,0,True
367,31126,31168,68.37796,2.2126353,64.10537,14.030504,"('0', '3')","('1', '0')",0,1,False
368,31198,31222,61.485573,18.364603,58.157093,11.952365,"('1', '1')","('1', '0')",1,1,True
369,31280,31363,50.55814,11.166533,29.029676,34.28063,"('1', '0')","('1', '10')",1,1,True
370,31287,31363,48.947987,11.8925705,29.029676,34.28063,"('1', '0')","('1', '10')",1,1,True
371,31404,31436,29.29944,37.105556,34.533504,47.738564,"('1', '10')","('1', '3')",1,1,True
372,31473,31522,36.494587,50.286896,54.028122,51.51893,"('1', '3')","('1', '4')",1,1,True
374,31568,31589,46.915333,56.00535,50.18153,60.988632,"('0', '10')","('0', '6')",0,0,True
375,31615,31629,50.519394,61.116962,52.440704,57.51824,"('0', '6')","('0', '5')",0,0,True
376,31682,31709,56.136047,54.221573,67.677956,51.767307,"('0', '5')","('0', '8')",0,0,True
378,31770,31804,66.64194,53.557404,70.292015,62.853664,"('0', '8')","('0', '9')",0,0,True
379,31820,31892,71.374016,65.46218,89.93366,44.29718,"('0', '9')","('0', '0')",0,0,True
380,31822,31892,71.94558,65.06498,89.93366,44.29718,"('0', '9')","('0', '0')",0,0,True
382,32035,32064,92.71475,47.362328,91.86482,56.922047,"('0', '0')","('0', '8')",0,0,True
383,32096,32151,91.86038,57.41785,100.908325,41.46792,"('0', '8')","('0', '0')",0,0,True
384,32228,32259,95.78117,32.102352,94.02634,21.260664,"('0', '0')","('0', '1')",0,0,True
385,32233,32259,95.51936,31.052515,94.02634,21.260664,"('0', '0')","('0', '1')",0,0,True
386,32389,32422,87.835724,20.346289,94.39415,28.792196,"('0', '1')","('0', '0')",0,0,True
390,32681,32767,82.25303,36.031593,87.69097,25.54224,"('0', '7')","('0', '0')",0,0,True
391,32683,32767,82.17347,35.164593,87.69097,25.54224,"('0', '7')","('0', '0')",0,0,True
392,32722,32767,78.87613,15.210135,87.69097,25.54224,"('0', '1')","('0', '0')",0,0,True
393,32830,32868,91.86131,32.06193,87.21363,51.909355,"('0', '0')","('0', '8')",0,0,True
394,32834,32868,91.177414,33.99773,87.21363,51.909355,"('0', '0')","('0', '8')",0,0,True
395,33021,33042,67.46272,56.192734,59.29604,57.184975,"('0', '8')","('0', '10')",0,0,True
397,33076,33171,60.295864,60.231514,23.228182,66.870544,"('0', '10')","('1', '3')",0,1,False
398,33080,33171,58.59113,61.28149,23.228182,66.870544,"('0', '10')","('1', '3')",0,1,False
401,33475,33540,14.7941475,70.55121,19.384636,61.51329,"('0', '9')","('1', '1')",0,1,False
402,33568,33594,22.410069,61.446423,30.011486,64.48639,"('1', '1')","('1', '4')",1,1,True
403,33637,33722,24.644081,62.375286,64.76042,59.417484,"('1', '6')","('0', '1')",1,0,False
404,33745,33823,69.35277,59.635345,90.1442,41.442287,"('0', '1')","('0', '0')",0,0,True
405,33752,33823,71.64668,58.646214,90.1442,41.442287,"('0', '1')","('0', '0')",0,0,True
406,33878,33911,89.91861,40.358032,87.66189,49.716656,"('0', '0')","('0', '1')",0,0,True
408,34054,34096,85.32051,39.70646,83.04154,26.265142,"('0', '1')","('0', '7')",0,0,True
410,34259,34291,80.83387,24.744951,86.0354,33.17016,"('0', '7')","('0', '1')",0,0,True
411,34332,34375,85.98552,35.8249,89.332756,49.731224,"('0', '1')","('0', '8')",0,0,True
413,34410,34468,88.09292,51.24341,70.89746,61.09398,"('1', '6')","('1', '5')",1,1,True
414,34435,34468,80.97019,46.12001,70.89746,61.09398,"('0', '7')","('1', '5')",0,1,False
415,34539,34587,79.62308,62.814083,91.1502,62.05959,"('0', '9')","('0', '8')",0,0,True
417,34690,34757,87.87423,67.667175,89.470695,58.586094,"('0', '8')","('0', '9')",0,0,True
418,34693,34757,86.20565,67.360374,89.470695,58.586094,"('0', '8')","('0', '9')",0,0,True
419,34710,34757,78.258316,63.720455,89.470695,58.586094,"('1', '5')","('0', '9')",1,0,False
420,34778,34801,90.77273,55.022823,84.40682,51.139595,"('0', '9')","('0', '7')",0,0,True
422,34888,34906,90.28514,58.62021,95.11808,58.43061,"('0', '7')","('0', '9')",0,0,True
424,34966,35055,93.990395,64.28377,54.226006,58.603455,"('0', '9')","('1', '3')",0,1,False
427,35196,35272,39.85276,39.989357,24.19722,18.987408,"('0', '10')","('0', '4')",0,0,True
428,35202,35272,38.900772,38.46721,24.19722,18.987408,"('0', '10')","('0', '4')",0,0,True
429,35355,35382,16.28789,23.239565,-1.6520678,32.398,"('0', '4')","('1', '10')",0,1,False
430,35358,35382,14.582538,24.382967,-1.6520678,32.398,"('1', '2')","('1', '10')",1,1,True
433,35673,35703,0.8674379,31.523935,13.137117,32.46676,"('1', '10')","('1', '3')",1,1,True
435,36688,36722,52.890045,34.578167,42.558743,30.786896,"('1', '4')","('1', '0')",1,1,True
436,36760,36820,41.06534,31.51634,38.082394,54.11196,"('1', '0')","('1', '5')",1,1,True
438,36852,36896,38.106373,54.192364,28.104607,42.623413,"('1', '5')","('1', '3')",1,1,True
439,36975,37013,32.30404,35.537083,33.12374,18.240843,"('1', '3')","('1', '9')",1,1,True
440,37062,37154,31.351408,20.708084,38.36021,47.855602,"('1', '9')","('0', '6')",1,0,False
441,37097,37154,43.160275,30.72473,38.36021,47.855602,"('1', '1')","('0', '6')",1,0,False
443,37319,37340,11.061898,44.37883,7.208345,46.770367,"('0', '6')","('1', '9')",0,1,False
448,37824,37846,2.2085776,56.249287,2.475821,50.941753,"('0', '6')","('1', '10')",0,1,False
449,37948,37997,2.9974349,41.79177,13.667427,29.068506,"('1', '10')","('1', '9')",1,1,True
450,37950,37997,3.4735591,41.25334,13.667427,29.068506,"('1', '10')","('1', '9')",1,1,True
451,38046,38088,15.927348,26.913477,22.46939,4.9786468,"('1', '9')","('1', '2')",1,1,True
452,38223,38271,23.954021,7.517176,19.758917,21.795824,"('1', '2')","('1', '9')",1,1,True
453,38343,38387,21.829784,28.518103,21.848589,44.18141,"('1', '9')","('1', '3')",1,1,True
454,38415,38462,23.193678,46.596832,34.421238,66.515884,"('1', '3')","('1', '5')",1,1,True
455,38495,38571,35.709797,67.7889,62.762024,62.25594,"('1', '5')","('0', '8')",1,0,False
456,38499,38571,36.560715,67.95776,62.762024,62.25594,"('1', '5')","('0', '8')",1,0,False
457,38618,38688,68.40354,61.66073,86.02553,43.04706,"('0', '8')","('0', '0')",0,0,True
458,38621,38688,69.225044,61.153015,86.02553,43.04706,"('0', '8')","('0', '0')",0,0,True
459,38715,38766,89.47702,39.768013,66.46014,64.87478,"('0', '0')","('0', '9')",0,0,True
460,38797,38867,63.398914,64.96784,47.878098,65.95156,"('0', '9')","('0', '6')",0,0,True
461,38803,38867,61.991264,64.09244,47.878098,65.95156,"('0', '9')","('0', '6')",0,0,True
462,38833,38867,52.432198,57.75551,47.878098,65.95156,"('1', '5')","('0', '6')",1,0,False
466,39222,39339,52.38863,69.641685,80.90205,54.271915,"('1', '5')","('0', '1')",1,0,False
467,39421,39532,89.47624,42.570072,97.64318,8.948345,"('1', '6')","('1', '8')",1,1,True
468,39426,39532,90.08791,41.187252,97.64318,8.948345,"('1', '6')","('1', '8')",1,1,True
469,39577,39622,99.436584,1.233305,80.39048,0.7334132,"('1', '8')","('1', '2')",1,1,True
472,39692,39741,73.49705,5.5441465,53.674526,14.40409,"('1', '2')","('1', '9')",1,1,True
473,39797,39897,49.402466,19.46854,68.28588,66.37347,"('1', '9')","('1', '5')",1,1,True
474,39799,39897,49.99458,20.612926,68.28588,66.37347,"('1', '9')","('1', '5')",1,1,True
476,39944,39976,69.1947,66.728096,70.64148,57.805878,"('1', '5')","('1', '4')",1,1,True
478,40043,40119,70.55791,59.586647,95.20314,59.404457,"('1', '4')","('1', '5')",1,1,True
479,40145,40182,99.34647,60.246532,101.57358,34.675285,"('1', '5')","('0', '0')",1,0,False
480,40146,40182,99.52768,59.921116,101.57358,34.675285,"('1', '5')","('0', '0')",1,0,False
481,40354,40424,96.15063,32.67752,71.717384,8.70521,"('0', '0')","('0', '4')",0,0,True
482,40357,40424,96.00012,31.880383,71.717384,8.70521,"('0', '0')","('0', '4')",0,0,True
483,40508,40522,75.67607,12.289209,79.92032,14.539774,"('0', '4')","('1', '4')",0,1,False
484,40524,40542,80.24131,14.7061,83.90257,16.74776,"('1', '4')","('0', '5')",1,0,False
485,40572,40597,87.12963,18.79222,92.74311,24.674698,"('0', '5')","('0', '1')",0,0,True
486,40741,40771,89.34519,27.418858,93.502556,34.792957,"('0', '1')","('0', '0')",0,0,True
487,41019,41072,94.542305,40.684784,62.29462,44.80572,"('0', '0')","('0', '2')",0,0,True
489,41231,41284,51.00296,50.291546,45.001667,64.62897,"('0', '2')","('0', '6')",0,0,True
490,41236,41284,50.48029,51.190094,45.001667,64.62897,"('0', '2')","('0', '6')",0,0,True
491,41325,41379,44.265717,61.643204,23.064173,38.384487,"('0', '6')","('1', '2')",0,1,False
493,41559,41571,32.862488,46.513165,34.504833,44.20472,"('1', '1')","('1', '8')",1,1,True
494,41591,41632,36.853535,41.464878,43.194107,47.548855,"('1', '8')","('1', '1')",1,1,True
495,41610,41632,43.738945,39.99966,43.194107,47.548855,"('1', '4')","('1', '1')",1,1,True
496,41747,41762,50.997696,62.14146,47.2769,65.57508,"('0', '9')","('0', '6')",0,0,True
498,41898,41970,32.30195,65.791756,13.94328,51.91396,"('0', '6')","('1', '9')",0,1,False
499,42221,42276,13.7726,43.16864,13.73691,27.573332,"('1', '10')","('1', '9')",1,1,True
500,42223,42276,13.759757,42.601273,13.73691,27.573332,"('1', '10')","('1', '9')",1,1,True
503,42324,42349,20.80177,19.16671,27.460108,10.761287,"('1', '9')","('1', '2')",1,1,True
504,42393,42432,27.90639,10.114557,21.442041,20.963608,"('1', '2')","('1', '9')",1,1,True
505,42694,42747,27.900314,29.890741,15.582008,38.853172,"('1', '9')","('1', '10')",1,1,True
506,42845,42874,18.70915,38.7932,21.40551,26.724276,"('1', '10')","('1', '9')",1,1,True
507,42849,42874,18.998875,37.507195,21.40551,26.724276,"('1', '10')","('1', '9')",1,1,True
509,42920,43031,23.335033,23.349295,34.23179,9.879461,"('1', '9')","('0', '10')",1,0,False
510,42969,43031,50.132504,20.212524,34.23179,9.879461,"('0', '3')","('0', '10')",0,0,True
512,43175,43183,28.367022,2.5789292,26.603567,2.164451,"('1', '8')","('1', '4')",1,1,True
513,43236,43268,23.623758,1.7751309,27.804356,12.720706,"('1', '4')","('1', '0')",1,1,True
514,43243,43268,23.941732,3.3960078,27.804356,12.720706,"('0', '10')","('1', '0')",0,1,False
515,43286,43311,28.596472,14.4647875,26.993492,20.6901,"('1', '0')","('0', '7')",1,0,False
516,43340,43372,24.848955,24.538538,14.823499,19.355316,"('0', '2')","('0', '5')",0,0,True
517,43343,43372,24.061596,24.1955,14.823499,19.355316,"('0', '2')","('0', '5')",0,0,True
518,43406,43537,10.832572,20.844683,9.473058,10.791293,"('0', '5')","('1', '2')",0,1,False
519,43409,43537,10.279518,21.32135,9.473058,10.791293,"('0', '5')","('1', '2')",0,1,False
520,43597,43606,15.768182,9.280729,18.11578,10.101095,"('0', '5')","('0', '4')",0,0,True
522,43711,43752,34.523743,18.697655,35.579384,9.592174,"('0', '7')","('1', '2')",0,1,False
523,43777,43821,36.032146,5.0349226,60.669926,14.414437,"('1', '2')","('0', '1')",1,0,False
524,43779,43821,37.00572,5.3737755,60.669926,14.414437,"('1', '2')","('0', '1')",1,0,False
525,43826,43851,61.691196,14.4573555,59.5572,8.8074255,"('0', '1')","('0', '3')",0,0,True
526,43891,43926,58.731956,3.7310283,59.464123,19.322397,"('0', '3')","('0', '5')",0,0,True
527,43893,43926,58.667904,4.3891797,59.464123,19.322397,"('0', '3')","('0', '5')",0,0,True
528,43978,44042,65.40423,22.29076,87.68829,24.087978,"('0', '5')","('0', '0')",0,0,True
529,44124,44150,86.00704,28.444014,85.33655,38.54935,"('0', '0')","('0', '8')",0,0,True
530,44195,44227,83.10843,40.80646,69.5818,42.84405,"('0', '8')","('0', '2')",0,0,True
531,44198,44227,81.98303,41.04035,69.5818,42.84405,"('0', '8')","('0', '2')",0,0,True
532,44247,44283,69.42519,42.671745,77.49451,46.73163,"('0', '2')","('0', '8')",0,0,True
533,44255,44283,71.09539,43.47395,77.49451,46.73163,"('0', '2')","('0', '8')",0,0,True
535,44320,44361,79.41299,46.447845,82.70897,35.478718,"('0', '8')","('0', '5')",0,0,True
536,44478,44517,80.003204,34.495647,80.40366,47.833694,"('0', '5')","('0', '8')",0,0,True
537,44539,44600,79.89307,47.48457,94.79335,36.095886,"('0', '8')","('0', '0')",0,0,True
538,44603,44679,95.122,35.909035,68.58225,67.10415,"('0', '0')","('0', '9')",0,0,True
539,44744,44787,68.92401,66.606026,82.077034,60.906788,"('0', '9')","('0', '8')",0,0,True
